time,VNM,VIC,VHM,FPT,HPG,MWG,VCB,MBB
2022-08-11,58.6,32.9,61.4,52.86,17.41,61.03,45.83,12.1
2022-08-12,59.25,33.1,61.2,53.17,17.82,61.03,45.88,12.21
2022-08-15,58.92,33.2,61.5,54.64,17.85,62.97,45.99,12.35
2022-08-16,59.17,32.95,61.3,54.52,18.26,63.94,45.83,12.3
2022-08-17,59.83,33.65,61.3,54.27,18.08,62.97,45.83,12.53
2022-08-18,60.49,34.05,61.1,54.27,17.97,62.48,45.83,12.48
2022-08-19,61.07,33.95,60.1,53.41,17.67,62.1,45.49,12.46
2022-08-22,60.74,33.0,59.4,53.35,17.37,64.42,44.98,12.51
2022-08-23,62.47,32.5,59.5,53.47,17.59,64.81,45.09,12.57
2022-08-24,64.03,32.45,59.7,53.6,17.48,64.71,46.11,12.62
2022-08-25,64.2,32.95,61.0,53.66,17.74,66.26,46.11,12.81
2022-08-26,63.37,32.5,60.3,54.22,17.48,69.94,46.39,12.78
2022-08-29,62.22,31.8,59.7,53.79,17.11,71.69,46.39,12.68
2022-08-30,62.63,31.8,59.9,53.72,17.15,71.01,48.36,12.81
2022-08-31,62.22,31.85,61.0,53.85,17.11,71.69,47.23,12.87
2022-09-05,63.87,32.0,61.0,53.6,17.78,70.23,46.44,12.78
2022-09-06,64.12,31.65,61.1,53.35,17.52,70.62,46.5,12.81
2022-09-07,62.39,31.25,59.5,52.23,17.11,68.49,44.98,12.46
2022-09-08,62.39,31.45,59.6,52.42,17.18,69.26,43.86,12.35
2022-09-09,62.55,32.2,59.9,52.42,17.71,69.75,44.31,12.3
2022-09-12,62.06,32.0,61.4,52.6,17.71,71.69,44.48,12.24
2022-09-13,62.39,32.05,60.7,52.6,17.63,71.78,44.2,12.22
2022-09-14,60.98,31.7,60.0,52.23,17.63,71.39,44.03,12.13
2022-09-15,61.4,31.95,60.5,52.04,17.56,71.59,44.53,12.0
2022-09-16,62.63,31.25,59.6,51.3,17.11,69.75,44.98,11.81
2022-09-19,61.97,31.45,58.4,51.67,16.85,68.29,44.31,11.38
2022-09-20,62.47,31.95,58.9,51.86,17.11,69.46,44.53,11.56
2022-09-21,63.37,31.55,58.3,51.17,17.04,67.81,44.36,11.48
2022-09-22,63.37,31.65,57.7,51.55,17.11,67.91,43.86,11.51
2022-09-23,63.21,31.3,57.2,51.24,16.89,67.23,42.68,11.38
2022-09-26,60.98,31.0,55.9,50.68,16.66,65.87,42.17,10.89
2022-09-27,59.67,30.5,54.1,50.05,16.66,65.0,41.78,10.94
2022-09-28,59.17,28.75,51.2,48.5,16.22,62.97,42.17,10.81
2022-09-29,59.91,27.3,50.8,47.88,16.11,62.0,41.61,10.73
2022-09-30,59.58,27.5,50.7,50.05,15.77,62.0,41.16,10.83
2022-10-03,58.51,27.75,50.4,47.88,14.69,57.74,39.7,10.13
2022-10-04,58.43,28.5,50.6,48.19,14.02,59.09,40.09,10.18
2022-10-05,59.01,30.0,53.8,48.75,14.28,60.25,40.2,10.4
2022-10-06,57.69,30.05,53.6,47.57,13.39,56.19,39.42,9.8
2022-10-07,57.52,30.1,53.8,46.01,13.09,52.31,37.5,9.18
2022-10-10,58.1,30.1,53.9,46.01,13.65,55.31,36.6,9.34
2022-10-11,57.85,30.0,51.8,44.15,13.02,53.67,34.86,8.69
2022-10-12,59.01,30.0,52.5,45.02,13.91,55.7,35.99,9.29
2022-10-13,60.82,30.2,52.8,45.39,14.51,55.8,37.39,9.43
2022-10-14,60.98,29.85,51.9,46.01,14.47,58.03,38.29,9.64
2022-10-17,61.07,28.0,49.5,45.89,14.32,57.06,37.28,9.48
2022-10-18,63.05,29.2,50.5,46.57,14.02,57.15,38.07,9.51
2022-10-19,63.13,29.25,50.0,46.95,13.69,57.15,38.18,9.48
2022-10-20,63.87,29.3,50.0,48.38,13.46,56.57,38.91,9.29
2022-10-21,63.46,28.4,47.95,45.95,12.57,52.7,38.24,8.72
2022-10-24,60.98,28.25,44.6,44.21,12.2,49.02,38.24,8.45
2022-10-25,62.63,28.05,44.6,45.52,12.72,50.37,39.3,8.88
2022-10-26,62.63,27.4,43.5,45.89,12.57,50.28,39.36,8.88
2022-10-27,64.69,27.5,44.0,47.13,12.94,51.63,40.32,9.48
2022-10-28,64.28,27.85,44.9,46.63,12.5,51.54,40.26,9.56
2022-10-31,64.69,27.7,45.0,47.01,11.64,49.99,41.33,9.59
2022-11-01,66.09,27.7,45.0,46.95,11.16,48.53,42.17,9.75
2022-11-02,64.53,27.7,44.9,46.01,11.42,46.5,41.38,9.7
2022-11-03,65.93,27.55,45.0,46.08,11.31,47.95,41.05,9.56
2022-11-04,65.93,27.15,44.5,45.33,10.9,44.61,40.37,9.7
2022-11-07,67.74,26.7,43.9,45.14,10.19,41.51,40.37,9.18
2022-11-08,67.91,26.65,43.8,45.58,9.78,43.2,40.82,9.32
2022-11-09,66.67,26.85,44.55,46.01,9.67,44.08,41.61,9.18
2022-11-10,64.61,26.5,43.95,45.39,9.0,41.03,40.93,8.56
2022-11-11,64.61,27.15,44.15,45.27,9.15,41.66,42.45,8.67
2022-11-14,65.11,27.5,44.0,44.02,9.08,39.38,42.23,8.23
2022-11-15,63.46,28.5,43.4,40.98,9.3,36.67,42.17,7.66
2022-11-16,61.4,30.2,44.9,43.09,9.93,39.18,42.23,8.18
2022-11-17,62.63,32.3,47.95,44.15,10.6,40.49,43.01,8.5
2022-11-18,63.46,32.8,48.0,44.46,11.23,40.83,43.01,8.5
2022-11-21,64.2,32.0,46.95,43.59,11.12,39.38,42.17,8.5
2022-11-22,65.52,30.5,45.3,43.84,11.01,38.94,41.33,8.56
2022-11-23,65.44,29.85,44.4,43.84,10.27,39.23,41.33,8.5
2022-11-24,66.92,30.5,45.0,43.84,10.68,36.52,41.05,8.5
2022-11-25,67.74,32.5,47.0,44.77,11.38,36.62,41.1,8.78
2022-11-28,67.33,32.5,50.2,46.2,12.16,38.89,43.13,9.32
2022-11-29,68.4,34.7,53.1,46.2,12.94,41.46,44.87,9.32
2022-11-30,68.24,34.8,54.5,46.39,13.69,42.72,45.54,9.43
2022-12-01,67.91,33.0,53.5,46.45,13.54,42.67,44.98,9.64
2022-12-02,69.23,34.4,57.2,48.13,14.47,45.53,47.79,10.18
2022-12-05,70.05,34.05,58.3,48.69,14.88,46.11,47.79,10.29
2022-12-06,67.99,33.3,55.0,47.26,13.84,42.96,44.98,9.59
2022-12-07,67.99,35.6,55.5,47.57,13.58,43.45,44.14,9.37
2022-12-08,66.75,34.95,55.4,47.88,14.06,44.56,43.3,9.8
2022-12-09,65.93,33.9,54.1,48.5,14.28,44.75,43.46,9.86
2022-12-12,64.69,31.55,50.5,47.88,13.84,44.46,43.52,9.59
2022-12-13,64.28,30.8,53.0,48.0,14.13,44.95,43.97,9.75
2022-12-14,63.87,30.4,53.0,47.44,14.28,45.0,44.31,9.83
2022-12-15,63.95,30.3,50.7,48.31,14.39,45.53,44.7,10.26
2022-12-16,64.28,29.2,49.3,48.44,15.18,46.35,44.81,10.18
2022-12-19,63.46,28.25,48.2,47.63,14.88,45.68,44.53,9.94
2022-12-20,64.86,27.95,48.2,47.63,14.13,45.05,44.42,9.53
